Arthdal Chronicles (2019) S03E01         ,https://cineru.lk/arthdal-chronicles-2019-s03e01-sinhala-subtitles/
Impetigore (2019)    ,https://cineru.lk/impetigore-2019-sinhala-sub/
A Christmas Carol (2019) Complete Season      ,https://cineru.lk/a-christmas-carol-2019-sinhala-sub/
Van Helsing S01E03 (2016)     ,https://cineru.lk/van-helsing-s01e03-2016-sinhala-sub/
Train (2020) E07      ,https://cineru.lk/train-2020-e07-sinhala-sub/
Operation Cobra (2019) S1 E6        ,https://cineru.lk/operation-cobra-2019-s1-e6-sinhala-subtitles/
Arthdal Chronicles (2019) S02E06      ,https://cineru.lk/arthdal-chronicles-2019-s02e06-sinhala-subtitles/
Transformers Prime S1E03 (2010)      ,https://cineru.lk/transformers-prime-s1-e03-2010-sinhala-sub/
Arthdal Chronicles (2019) S03E03  ,https://cineru.lk/arthdal-chronicles-2019-s03e03-sinhala-subtitles/
Into The Ring (2020) E03 E04     ,https://cineru.lk/into-the-ring-2020-e03-e04-sinhala-sub/
Sunod (2019)    ,https://cineru.lk/sunod-2019-sinhala-sub/
Transformers Prime S1E02 (2010)     ,https://cineru.lk/transformers-prime-s1-e02-2010-sinhala-sub/
Van Helsing S01E06 (2016)     ,https://cineru.lk/van-helsing-s01e06-2016-sinhala-sub/
Dangerous (2020) S01E01       ,https://cineru.lk/dangerous-2020-s01e01-sinhala-subtitles/
Khuda Haafiz (2020)          ,https://cineru.lk/khuda-haafiz-2020-sinhala-sub/
Backstreet Rookie (2020) E08        ,https://cineru.lk/backstreet-rookie-2020-e08-sinhala-subtitle/
Black Summer (2019) S1 E7         ,https://cineru.lk/black-summer-2019-s1-e7-sinhala-subtitles/
Transformers War For Cybertron Trilogy (2020) Complete Season 01     ,https://cineru.lk/transformers-war-for-cybertron-trilogy-2020-sinhala-sub/
Black Water Abyss (2020)      ,https://cineru.lk/black-water-abyss-2020-sinhala-sub/
Aadu (2015)     ,https://cineru.lk/aadu-2015-sinhala-sub/
Rugal (2020) E14    ,https://cineru.lk/rugal-2020-e14-sinhala-sub/
Iris II (2013) S02E02 iris   ,https://cineru.lk/iris-ii-2013-s02e02-sinhala-sub/
Transformers Prime S101 Darkness Rising Part 1 (2010)       ,https://cineru.lk/transformers-prime-s1-01-darkness-rising-part-1-2020-sinhala-sub/
Black Summer (2019) S1 E8         ,https://cineru.lk/black-summer-2019-s1-e8-sinhala-subtitles/
Black Summer (2019) S1 E4        ,https://cineru.lk/black-summer-2019-s1-e4-sinhala-subtitles/
The Silencing (2020)     ,https://cineru.lk/the-silencing-2020-sinhala-sub/
Train (2020) E09E10      ,https://cineru.lk/train-2020-e09-e10-sinhala-sub/
Iris II (2013) S02E01    ,https://cineru.lk/iris-ii-2013-s02e01-sinhala-sub/
Bad Genius (2020) E02      ,https://cineru.lk/bad-genius-2020-e02-sinhala-sub/
Dangerous (2020) S01E02 ,https://cineru.lk/dangerous-2020-s01e02-sinhala-sub/
Project Power (2020)     ,https://cineru.lk/project-power-2020-sinhala-sub/
Bad Genius (2020) E03     ,https://cineru.lk/bad-genius-2020-e03-sinhala-sub/
Fan (2019)      ,https://cineru.lk/fan-2019-sinhala-sub/
Backstreet Rookie (2020) E09        ,https://cineru.lk/backstreet-rookie-2020-e09-sinhala-subtitle/
Dangerous (2020) S01 E06E07       ,https://cineru.lk/dangerous-2020-s01-e06-e07-sinhala-sub/
Tripura (2015)        ,https://cineru.lk/tripura-2015-sinhala-sub/
Backstreet Rookie (2020) E10        ,https://cineru.lk/backstreet-rookie-2020-e10-sinhala-subtitle/
Black Summer (2019) S1 E5        ,https://cineru.lk/black-summer-2019-s1-e5-sinhala-subtitles/
Bad Genius (2020) E04      ,https://cineru.lk/bad-genius-2020-e04-sinhala-sub/
